,Symbol,Security,GICS Sector,text
119,CAG,Conagra Brands,Consumer Staples,"Conagra Brands, Inc. is an American packaged foods company headquartered in Chicago, Illinois. Conagra makes and sells products under various brand names that are available in supermarkets, restaurants, and food service establishments."
120,COP,ConocoPhillips,Energy,"Grimsby Town Football Club is a professional football club based in Cleethorpes, North East Lincolnshire, England, that competes in League Two, the fourth tier of the English football league system. Nicknamed ""the Mariners"", the club was founded as Grimsby Pelham in 1878, changed its name to Grimsby Town a year later and moved to its current stadium, Blundell Park, in 1898."
121,ED,Consolidated Edison,Utilities,"Consolidated Edison, Inc., commonly known as Con Edison (stylized as conEdison) or Con Ed, is one of the largest investor-owned energy companies in the United States, with approximately $12 billion in annual revenues as of 2017, and over $48 billion in assets. The company provides a wide range of energy-related products and services to its customers through its subsidiaries: In 2015, electric revenues accounted for 70.35% of consolidated sales (70.55% in 2014); gas revenues 13.61% (14.96% in 2014); steam revenues 5.01% (4.86% in 2014); and non-utility revenues of 11.02% (9.63 in 2014%)."
122,STZ,Constellation Brands,Consumer Staples,"Constellation Brands, Inc., a Fortune 500 company, is an international producer and marketer of beer, wine and spirits. Constellation is the largest beer import company in the US, measured by sales, and has the third-largest market share (7.4 percent) of all major beer suppliers. It also has investments in medical marijuana. Based in Victor, New York, Constellation has about 40 facilities and approximately 9,000 employees."
123,COO,The Cooper Companies,Health Care,"The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company, publicly traded on the NYSE (NYSE:COO). With its headquarters in San Ramon, California, it has a workforce of more than 12,000 employees and consists of two business units,  CooperVision (CVI) which manufactures contact lenses for the vision care market, and CooperSurgical (CSI) which manufactures medical devices and fertility and genomic products for the women’s health care market. The Cooper Companies is a member of the S&P 500 and a certified Great Place to Work in the United States."
124,CPRT,Copart Inc,Industrials,"Copart, Inc., headquartered in Dallas, Texas, is a provider of online vehicle auction and remarketing services in the US, Canada, and the UK. that has acquired or opened operations in Germany, Ireland, Brazil, Spain, the United Arab Emirates, and Finland."
125,GLW,Corning Inc.,Information Technology,"Corning Incorporated is an American multinational technology company that specializes in specialty glass, ceramics, and related materials and technologies including advanced optics, primarily for industrial and scientific applications. The company was named Corning Glass Works until 1989. Corning divested its consumer product lines (including CorningWare and Visions Pyroceram-based cookware, Corelle Vitrelle tableware, and Pyrex glass bakeware) in 1998 by selling the Corning Consumer Products Company subsidiary (now known as Corelle Brands) to Borden, but still holds an interest of about 8 percent."
126,CTVA,Corteva,Materials,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company. The biggest pure play (stand alone) agricultural organization in the world. DowDuPont announced the Corteva name in February 2018, explaining that ""Cor"" means ""at the heart of"", or ""at the centre of"", and ""teva"" is an ancient word meaning ""earth"". Corteva became a public company on June 3, 2019, when DowDuPont distributed Corteva shares to its shareholders."
127,COST,Costco Wholesale Corp.,Consumer Staples,"Costco Wholesale Corporation, doing business as Costco, is an American multinational corporation which operates a chain of membership-only warehouse clubs. As of 2015, Costco was the second largest retailer in the world after Walmart, and as of 2016, Costco was the world's largest retailer of choice and prime beef, organic foods, rotisserie chicken, and wine. As of 2019, Costco is ranked #14 on the Fortune 500 rankings of the largest United States corporations by total revenue."
128,CCI,Crown Castle,Real Estate,"The Crown of Castile was a medieval polity in the Iberian Peninsula that formed in 1230 as a result of the third and definitive union of the crowns and, some decades later, the parliaments of the kingdoms of Castile and León upon the accession of the then Castilian king, Ferdinand III, to the vacant Leonese throne. It continued to exist as a separate entity after the personal union in 1469 of the crowns of Castile and Aragon with the marriage of the Catholic Monarchs up to the promulgation of the Nueva Planta decrees by Philip V in 1715."
129,CSX,CSX Corp.,Industrials,"CSX Transportation (reporting mark CSXT) is a Class I freight railroad operating in the eastern United States and the Canadian provinces of Ontario and Quebec. The railroad operates approximately 21,000 route miles (34,000 km) of track. The company operates as a subsidiary of CSX Corporation, a Fortune 500 company headquartered in Jacksonville, Florida."
130,CMI,Cummins Inc.,Industrials,"Cummins is an American Fortune 500 corporation that designs, manufactures, and distributes engines, filtration, and power generation products. Cummins also services engines and related equipment, including fuel systems, controls, air handling, filtration, emission control, electrical power generation systems, and trucks. Headquartered in Columbus, Indiana, United States, Cummins sells in approximately 190 countries and territories through a network of more than 600 company-owned and independent distributors and approximately 6,000 dealers. Cummins reported net income of $2.19 billion on sales of $23.77 billion in 2018."
131,CVS,CVS Health,Health Care,"CVS Health (previously CVS Corporation or CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain, CVS Caremark, a pharmacy benefits manager, Aetna, a health insurance provider, among many other brands. The company's headquarter is in Woonsocket, Rhode Island. In February 2020, CVS Health announced changes to its Board of Directors. Directors Richard ""Dick"" Swift, Richard Bracken and Mark Bertolini will no longer stand for re-election at the company's 2020 Annual Meeting and the Board will be reduced from 16 to 13 directors."
132,DHI,D. R. Horton,Consumer Discretionary,"D.R. Horton, Inc. is a home construction company incorporated in Delaware and headquartered in Arlington, Texas. Since 2002, the company has been the largest homebuilder by volume in the United States.The company ranked no. 194 on the 2019 Fortune 500 list of the largest United States corporations by revenue. The company operates in 90 markets in 29 states."
133,DHR,Danaher Corp.,Health Care,"Danaher Corporation is a globally diversified conglomerate with its headquarters in Washington, D.C., United States. Danaher is ranked 162nd on the 2018 Fortune 500 list. It operates in three segments: environmental & applied solutions, life sciences, and diagnostics. Danaher is currently ranked by Forbes as one of the best employers for diversity."
134,DRI,Darden Restaurants,Consumer Discretionary,"Darden Restaurants, Inc. is an American multi-brand restaurant operator headquartered in Orlando. As of April 2017, the firm owns two fine dining restaurant chains: Eddie V's Prime Seafood and The Capital Grille; and six casual dining restaurant chains: Olive Garden, LongHorn Steakhouse, Bahama Breeze, Seasons 52, Yard House and Cheddar's Scratch Kitchen. Until July 28, 2014, Darden also owned Red Lobster. Darden has more than 1,500 restaurant locations and more than 150,000 employees, making it the world's largest full-service restaurant company. As of 2018, Darden is the only Fortune 500 company with its corporate headquarters in Greater Orlando."
135,DVA,DaVita Inc.,Health Care,"DaVita Inc. provides kidney dialysis services through a network of 2,664 outpatient dialysis centers in the United States, serving 202,700 patients, and 241 outpatient dialysis centers in other countries. The company primarily treats end-stage renal disease (ESRD), which requires patients to undergo dialysis 3 times per week for the rest of their lives. The company has a 37% market share in the dialysis market. It is organized in Delaware and based in Denver. The company is ranked 188th on the 2019 Fortune 500."
136,DE,Deere & Co.,Industrials,"John Deere is the brand name of Deere & Company, an American corporation that manufactures agricultural, construction, and forestry machinery, diesel engines, drivetrains (axles, transmissions, gearboxes) used in heavy equipment, and lawn care equipment. In 2019, it was listed as 87th in the Fortune 500 America's ranking and was ranked 329th in the global ranking. The company also provides financial services and other related activities."
137,DAL,Delta Air Lines Inc.,Industrials,"Delta Air Lines, Inc., typically referred to as Delta, is one of the major airlines of the United States and a legacy carrier. It is headquartered in Atlanta, Georgia. The airline, along with its subsidiaries and regional affiliates, including Delta Connection, operates over 5,400 flights daily and serves 325 destinations in 52 countries on six continents. Delta is a founding member of the SkyTeam airline alliance."
138,XRAY,Dentsply Sirona,Health Care,"Dentsply Sirona is an American dental equipment maker and dental consumables producer that markets its products in over 120 countries. It has factories in 21 countries. The present company is largely the result of a merger in 1993 in which Gendex Corporation acquired Dentsply International Inc. for $590 million. On January 17, 2018, Dentsply Sirona announced the appointment of Donald M. Casey Jr., formerly CEO of the Medical Segment of Cardinal Health, as CEO and a member of the board."
139,DVN,Devon Energy,Energy,"Devon Energy Corporation is a company engaged in hydrocarbon exploration in the United States. It is organized in Delaware and headquartered in the 50-story Devon Energy Center in Oklahoma City, Oklahoma. Its operations are in the Barnett Shale, STACK Formation in Oklahoma, Delaware Basin, Eagle Ford Group shale, and the Rocky Mountains. The company is ranked 297th on the Fortune 500. As of December 31, 2018, the company had proved reserves of 1.927 billion barrels of oil equivalent (1.179×1010 GJ)."
140,DXCM,DexCom,Health Care,"Art Deco, sometimes referred to as Deco, is a style of visual arts, architecture and design that first appeared in France just before World War I. Art Deco influenced the design of buildings, furniture, jewelry, fashion, cars, movie theatres, trains, ocean liners, and everyday objects such as radios and vacuum cleaners. It took its name, short for Arts Décoratifs, from the Exposition internationale des arts décoratifs et industriels modernes (International Exhibition of Modern Decorative and Industrial Arts) held in Paris in 1925. It combined modern styles with fine craftsmanship and rich materials. During its heyday, Art Deco represented luxury, glamour, exuberance, and faith in social and technological progress."
141,FANG,Diamondback Energy,Energy,"Diamondback Energy is a company engaged in hydrocarbon exploration. It is organized in Delaware and headquartered in Midland, Texas. As of December 31, 2018, the company had 992 million barrels of oil equivalent (6.07×109 GJ) of estimated proved reserves, of which 63% was petroleum, 19% was natural gas, and 18% was natural gas liquids. The company's reserves are all in the Permian Basin."
142,DLR,Digital Realty Trust Inc,Real Estate,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services. As of December 31, 2018, the company owned 214 operating data center facilities totaling 34.5 million rentable square feet including 134 in the United States and 38 in Europe. The companies largest operating areas are: Northern Virginia, Dallas, Chicago, New York State, Silicon Valley, and London. The company is a member of The Green Grid and has helped pioneer concepts of energy efficient and energy conserving data center design."
143,DFS,Discover Financial Services,Financials,"Discover Financial Services, Inc. is an American financial services company that owns and operates Discover Bank, which offers checking and savings accounts, personal loans, home equity loans, student loans and credit cards. It also owns and operates the Discover and Pulse networks, and owns Diners Club International. Discover Card is the third largest credit card brand in the United States, when measured by cards in force, with nearly 50 million cardholders. Discover is currently headquartered in the Chicago suburb of Riverwoods, Illinois."
144,DISCA,"Discovery, Inc. (Series A)",Communication Services,"Discovery, Inc. (formerly Discovery Communications) is an American mass media company based in New York City. Established in 1985, the company primarily operates media properties serving members of ""passionate"" audiences. The company's core operations consist of a group of non-scripted and factual television brands, such as the namesake Discovery Channel, Animal Planet, Science Channel, and TLC. In 2018, the company acquired Scripps Networks Interactive, adding networks such as Food Network, HGTV, and Travel Channel to its portfolio."
145,DISCK,"Discovery, Inc. (Series C)",Communication Services,"Discovery, Inc. (formerly Discovery Communications) is an American mass media company based in New York City. Established in 1985, the company primarily operates media properties serving members of ""passionate"" audiences. The company's core operations consist of a group of non-scripted and factual television brands, such as the namesake Discovery Channel, Animal Planet, Science Channel, and TLC. In 2018, the company acquired Scripps Networks Interactive, adding networks such as Food Network, HGTV, and Travel Channel to its portfolio."
146,DISH,Dish Network,Communication Services,"DISH Network Corporation is a U.S. television provider based in Englewood, Colorado. It is the owner of the direct-broadcast satellite provider DISH, also still commonly known as DISH Network, and the over-the-top IPTV service Sling TV. The company has approximately 16,000 employees. Like many other providers, DISH is being affected by the cord-cutting trend where people are shifting towards internet based streaming television. Ending 2018, DISH lost 381,000 subscribers in its Q4 2018. DISH had 9.9 million satellite subscribers, down from 11 million year the previous year, and 14 million subscribers in 2014. Its primary competitors are AT&T's satellite service known as DirecTV and cable television providers. The company revenues for FY 2018 were $13.6 billion."
147,DG,Dollar General,Consumer Discretionary,"Dollar General Corporation is an American chain of variety stores headquartered in Goodlettsville, Tennessee. As of July 2018, Dollar General operates 15,000 stores in the continental United States. The company began in 1939 as a family-owned business called J.L. Turner and Son in Scottsville, Kentucky, owned by James Luther Turner and Cal Turner. In 1955, the name changed to Dollar General Corporation and in 1968 the company went public on the New York Stock Exchange. Fortune 500 recognized Dollar General in 1999 and in 2018 reached #123. Dollar General has grown to become one of the most profitable stores in the rural United States with revenue reaching around $21 billion in 2017."
148,DLTR,Dollar Tree,Consumer Discretionary,"Dollar Tree Stores, Inc., formerly known as Only $1.00, is an American chain of discount variety stores that sells items for $1 or less. Headquartered in Chesapeake, Virginia, it is a Fortune 500 company and operates 15,115 stores throughout the 48 contiguous U.S. states and Canada. Its stores are supported by a nationwide logistics network of eleven distribution centers. The company operates one-dollar stores under the names of Dollar Tree and Dollar Bills. The company also operates a multi-price-point variety chain under the Family Dollar banner."
149,D,Dominion Energy,Utilities,"Dominion Energy, Inc., commonly referred to as Dominion, is an American power and energy company headquartered in Richmond, Virginia that supplies electricity in parts of Virginia, North Carolina, and South Carolina and supplies natural gas to parts of Utah, West Virginia, Ohio, Pennsylvania, North Carolina, South Carolina, and Georgia. Dominion also has generation facilities in Indiana, Illinois, Connecticut, and Rhode Island."
150,DPZ,Domino's Pizza,Consumer Discretionary,"Domino's Pizza, Inc., branded as Domino's, is an American multinational pizza restaurant chain founded in 1960. The corporation is headquartered at the Domino's Farms Office Park in Ann Arbor, Michigan, and incorporated in Delaware. In February 2018, the chain became the largest pizza seller worldwide in terms of sales."
151,DOV,Dover Corporation,Industrials,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois, and employs more than 26,000 people worldwide. Dover's business is divided into three segments; Engineered Systems, Fluids, and Refrigeration & Food Equipment. Each segment holds operating companies that are run like independent companies. Dover is a constituent of the S&P 500 index and trades on the New York Stock Exchange under ""DOV"". Dover is ranked 360th on the Fortune 500. The company relocated its headquarters to Illinois from New York in mid-2010."
152,DOW,Dow Inc.,Materials,"An architect is a person who plans, designs and reviews the construction of buildings. To practice architecture means to provide services in connection with the design of buildings and the space within the site surrounding the buildings that have human occupancy or use as their principal purpose. Etymologically, architect derives from the Latin architectus, which derives from the Greek (arkhi-, chief + tekton, builder), i.e., chief builder."
153,DTE,DTE Energy Co.,Utilities,"DTE Energy (formerly Detroit Edison until 1996) is a Detroit-based diversified energy company involved in the development and management of energy-related businesses and services in the United States and Canada. Its operating units include an electric utility serving 2.2 million customers and a natural gas utility serving 1.3 million customers in Michigan. The DTE Energy portfolio includes non-utility energy businesses focused on power and industrial projects, natural gas pipelines, gathering and storage, and energy marketing and trading."
154,DUK,Duke Energy,Utilities,"Duke Energy Corporation headquartered in Charlotte, North Carolina, is an American electric power holding company in the United States, with assets in Canada."
155,DRE,Duke Realty Corp,Real Estate,"Duke Realty is a major United States real estate investment trust, based in Indianapolis, Indiana. It mainly owns industrial warehouses."
156,DD,DuPont de Nemours Inc,Materials,"DuPont de Nemours, Inc., commonly known as DuPont, is an American company formed by the merger of Dow Chemical and DuPont on August 31, 2017, and then subsequent spinoffs of Dow Inc. and Corteva. Prior to the spinoffs it was the world's largest chemical company in terms of sales."
157,DXC,DXC Technology,Information Technology,DXC Technology is an American multinational corporation that provides B2B IT services.
158,EMN,Eastman Chemical,Materials,"Eastman Chemical Company is an American company primarily involved in the chemical industry. Once a subsidiary of Kodak, it today is an independent global specialty chemical company that produces a broad range of advanced materials, chemicals and fibers for everyday purposes. Founded in 1920 and based in Kingsport, Tennessee, the company now has more than 50 manufacturing sites worldwide and employs approximately 14,500 people. Eastman Chemical was spun off from parent Eastman Kodak in 1994 and had 2019 sales revenue of approximately $9.3 billion."
159,ETN,Eaton Corporation,Industrials,"Eaton Corporation Inc is an Irish-domiciled multinational power management company with 2018 sales of $21.6 billion, founded in the United States with corporate headquarters in Dublin, Ireland, and operational headquarters in Beachwood, Ohio. Eaton has approximately 99,000 employees and sells products to customers in more than 175 countries."
160,EBAY,eBay Inc.,Consumer Discretionary,"eBay Inc. ( EE-bay) is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website. eBay was founded by Pierre Omidyar in the autumn of 1995, and became a notable success story of the dot-com bubble. eBay is a multibillion-dollar business with operations in about 30 countries, as of 2011. The company manages the eBay website, an online auction and shopping website in which people and businesses buy and sell a wide variety of goods and services worldwide. The website is free to use for buyers, but sellers are charged fees for listing items after a limited number of free listings, and again when those items are sold."
161,ECL,Ecolab Inc.,Materials,"Ecolab Inc., headquartered in St. Paul, Minnesota, is an American global provider of water, hygiene and energy technologies and services to the food, energy, healthcare, industrial and hospitality markets. It was founded as Economics Laboratory in 1923 by Merritt J. Osborn, and renamed ""Ecolab"" in 1986."
162,EIX,Edison Int'l,Utilities,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets . Edison's roots trace back to Holt & Knupps, a company founded in 1886 as a provider of street lights in Visalia, California."
163,EW,Edwards Lifesciences,Health Care,"Edwards Lifesciences is an American medical technology company headquartered in Irvine, CA, specializing in artificial heart valves and hemodynamic monitoring. It is most well-known for its SAPIEN transcatheter aortic heart valve made of bovine tissue within a collapsible stainless-steel stent, deployed via catheter. It is the first such FDA-approved, commercially-available device to replace a defective aortic valve without the need for open-heart surgery."
164,EA,Electronic Arts,Communication Services,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive and Ubisoft as of March 2018."
165,EMR,Emerson Electric Company,Industrials,"Emerson Electric Co. is an American multinational corporation headquartered in Ferguson, Missouri, United States. This Fortune 500 company manufactures products and provides engineering services for a wide range of industrial, commercial, and consumer markets. Emerson has approximately 76,500 employees and 205 manufacturing locations worldwide."
166,ENPH,Enphase Energy,Information Technology,"Enphase Energy is a NASDAQ-listed energy technology company headquartered in Fremont, California. Enphase designs and manufactures software-driven home energy solutions that span solar generation, home energy storage and web-based monitoring and control. Enphase has shipped about twenty million solar microinverters, primarily into the residential and commercial markets in North America, Europe and Australia. Microinverters convert the direct current power from the solar panel (DC) directly into grid-compatible alternating current (AC) for use or export. Enphase was the first company to successfully commercialise the microinverter on a wide scale, and remains the market leader in their production."
167,ETR,Entergy Corp.,Utilities,"Entergy Corp. v. Riverkeeper, Inc., 556 U.S. 208 (2009), is a decision by the United States Supreme Court that reviewed the Environmental Protection Agency's (EPA) interpretation of the Clean Water Act regulations with regard to cooling water intakes for power plants. Existing facilities are mandated to use the ""Best Technology Available"" to ""minimize the adverse environmental impact."" The issue was whether the agency may use a cost–benefit analysis (CBA) in choosing the Best Available Technology or (BAT) to meet the National Performance Standards (NPS)."
168,EOG,EOG Resources,Energy,"EOG Resources, Inc. is a company engaged in hydrocarbon exploration. It is organized in Delaware and headquartered in the Heritage Plaza building in Houston, Texas. The company is ranked 270th on the Fortune 500. The company was named Enron Oil & Gas Company before its separation from Enron in 1999."
169,EFX,Equifax Inc.,Industrials,"Equifax Inc. is one of the three largest consumer credit reporting agencies, along with Experian and TransUnion (together known as the ""Big Three""). Equifax collects and aggregates information on over 800 million individual consumers and more than 88 million businesses worldwide. In addition to credit and demographic data and services to business, Equifax sells credit monitoring and fraud prevention services directly to consumers. Like all credit reporting agencies, the company is required by U.S. law to provide consumers with one free credit report every year."
170,EQIX,Equinix,Real Estate,"Equinix, Inc. is an American multinational company headquartered in Redwood City, California, that specializes in Internet connection and data centers. The company leads in global colocation data center market share, with 205 data centers in 25 countries on five continents. It is listed on the NASDAQ stock exchange under the ticker symbol EQIX, and as of 2018, it had approximately 7,800 employees globally. The company converted to a real estate investment trust (REIT) in January 2015."
171,EQR,Equity Residential,Real Estate,"Equity Residential is a publicly traded real estate investment trust that invests in apartments. As of December 31, 2018, the company owned or had investments in 307 properties consisting of 79,482 apartment units in Southern California, San Francisco, Washington, D.C., New York City, Boston, Seattle, and Denver. It is the 3rd largest apartment owner and 9th largest apartment manager in the United States."
172,ESS,"Essex Property Trust, Inc.",Real Estate,"Essex Property Trust is a publicly traded real estate investment trust that invests in apartments, primarily on the West Coast of the United States. As of December 31, 2018, the company owned interests in 245 apartment complexes, aggregating 59,661 apartment units, and 1 office building comprising 106,716 square feet."
173,EL,Estée Lauder Companies,Consumer Staples,"The Estée Lauder Companies Inc. ( stylized as ESTĒE LAUDER) is an American multinational manufacturer and marketer of prestige skincare, makeup, fragrance and hair care products, based in Midtown Manhattan, New York City. The company owns a diverse portfolio of brands, distributed internationally through both digital commerce and retail channels."
174,ETSY,Etsy,Consumer Discretionary,"Etsy is an e-commerce website focused on handmade or vintage items and craft supplies. These items fall under a wide range of categories, including jewelry, bags, clothing, home décor and furniture, toys, art, as well as craft supplies and tools. All vintage items must be at least 20 years old. The site follows in the tradition of open craft fairs, giving sellers personal storefronts where they list their goods for a fee of US$0.20 per item."
175,EVRG,Evergy,Utilities,"Evergy is an American investor-owned utility (IOU) with publicly traded stock that has its headquarters in Topeka, Kansas, and in Kansas City, Missouri. The company was formed from a merger of Westar Energy of Topeka and Great Plains Energy of Kansas City, Missouri, parent company of Kansas City Power & Light. Evergy is the largest electric company in Kansas, serving more than 1,000,000 residential, commercial and industrial customers in the eastern half of the state. Evergy has a generating capacity of 16,000 megawatt electricity from its over 40 power plants in Kansas and Missouri. Evergy service territory covers 28,130 square miles (72,900 km2) in east Kansas and west Missouri. Evergy owns more than 13,700 miles (22,000 km) of transmission lines and about 52,000 miles of distribution li"
176,ES,Eversource Energy,Utilities,"Eversource Energy is a publicly traded, Fortune 500 energy company headquartered in Hartford, Connecticut and Boston, Massachusetts, with several regulated subsidiaries offering retail electricity, natural gas service and water service to approximately 4 million  customers in Connecticut, Massachusetts and New Hampshire. Following its 2012 merger with Boston-based NSTAR, Northeast Utilities had more than 4,270 circuit miles of electric transmission lines, 72,000 pole miles of distribution lines, and 6,459 miles of natural gas pipeline in New England."
177,RE,Everest Re Group Ltd.,Financials,"Everest Re Group is a reinsurance company based in Hamilton, Bermuda."
178,EXC,Exelon Corp.,Utilities,"Exelon Corporation is an American Fortune 100 energy company headquartered in Chicago, Illinois. It generates revenues of approximately $33.5 billion and employs approximately 33,400 people. Exelon is the largest electric parent company in the United States by revenue, the largest regulated utility in the United States with approximately 10 million customers, and also the largest operator of nuclear power plants in the United States. It was created in October 2000 by the merger of PECO Energy Company of Philadelphia and Unicom Corp of Chicago, which owned Commonwealth Edison. Exelon is incorporated in Illinois."
179,EXPE,Expedia Group,Consumer Discretionary,"Expedia Group is an online travel shopping company for consumer and small business travel. Its websites, which are primarily travel fare aggregators and travel metasearch engines, include CarRentals.com, Expedia.com, HomeAway, Hotels.com, Hotwire.com, Orbitz, Travelocity, trivago, Venere.com and vrbo. According to Rich Barton, the company's first CEO, the word ""Expedia"" is derived from a combination of ""exploration"" and ""speed""."
180,EXPD,Expeditors,Industrials,"Expeditors (Expeditors International of Washington) is an American worldwide logistics and freight forwarding company headquartered in Seattle, Washington."
181,EXR,Extra Space Storage,Real Estate,"Extra Space Storage is an American provider of self-storage units, with 1,796 facilities across 40 states plus Washington, D.C. and Puerto Rico. Headquartered in Cottonwood Heights, Utah, Extra Space Storage is the second largest owner and/or operator of self-storage properties in the United States, as well as the largest self-storage management company. Extra Space Storage is a self-administered and self-managed real estate investment trust (REIT). As of October 2019, the company owned or operated a total of 1,796 self-storage stores across 40 states, Washington D.C., and Puerto Rico."
182,XOM,Exxon Mobil Corp.,Energy,"Exxon Mobil Corporation, doing business as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999 by the merger of Exxon (formerly the Standard Oil Company of New Jersey) and Mobil (formerly the Standard Oil Company of New York). ExxonMobil's primary brands are Exxon, Mobil, Esso, and ExxonMobil Chemical. ExxonMobil is incorporated in Texas."
183,FFIV,F5 Networks,Information Technology,"F5 Networks, Inc. is a transnational company that specializes in application services and application delivery networking (ADN). F5 technologies focus on the delivery, security, performance, and availability of web applications, including the availability of computing, storage, and network resources. F5 is headquartered in Seattle, Washington, with additional development, manufacturing, and administrative offices worldwide."
184,FB,"Facebook, Inc.",Communication Services,"Facebook is an American online social media and social networking service based in Menlo Park, California and a flagship service of the namesake company Facebook, Inc. It was founded by Mark Zuckerberg, along with fellow Harvard College students and roommates Eduardo Saverin, Andrew McCollum, Dustin Moskovitz and Chris Hughes."
185,FAST,Fastenal Co,Industrials,"Fastenal Company is an American company based in Winona, Minnesota. Distributing goods used by other businesses, it has over 2,200 branches throughout the US, Canada, Mexico and Europe along with 13 distribution centers. Fastenal resells industrial, safety, and construction supplies and offers services including inventory management, manufacturing, and tool repair. Fastenal refers to itself as an industrial supply company, and Reuters calls it an industrial distributor."
186,FRT,Federal Realty Investment Trust,Real Estate,"Federal Realty Investment Trust is a real estate investment trust that invests in shopping centers in the Northeastern United States, the Mid-Atlantic states, California, and South Florida."
187,FDX,FedEx Corporation,Industrials,"FedEx Corporation is an American multinational delivery services company headquartered in Memphis, Tennessee. The name ""FedEx"" is a syllabic abbreviation of the name of the company's original air division, Federal Express (now FedEx Express), which was used from 1973 until 2000. The company is known for its overnight shipping service and pioneering a system that could track packages and provide real-time updates on package location, a feature that has now been implemented by most other carrier services. FedEx is also one of the top contractors of the US government."
188,FIS,Fidelity National Information Services,Information Technology,"Fidelity National Information Services, Inc. (or FIS) is an international provider of financial services technology and outsourcing services. Headquartered in Jacksonville, Florida, FIS employs 52,000 people worldwide. FIS provides payment processing and banking software, services and outsourcing of the associated technology. FIS has over 20,000 clients in more than 130 countries. FIS was ranked second in the FinTech Forward 2016 rankings."
189,FITB,Fifth Third Bancorp,Financials,"Fifth Third Bank (5/3 Bank) is a bank headquartered in Cincinnati, Ohio, at Fifth Third Center. It is the principal subsidiary of Fifth Third Bancorp, a bank holding company. The bank operates 1,154 branches and 2,469 automated teller machines in Ohio, Kentucky, Indiana, Michigan, Illinois, Florida, Tennessee, West Virginia, Georgia, and North Carolina. Fifth Third Bank is incorporated in Ohio."
190,FE,FirstEnergy Corp,Utilities,"FirstEnergy Corp is an electric utility headquartered in Akron, Ohio. Its subsidiaries and affiliates are involved in the distribution, transmission, and generation of electricity, as well as energy management and other energy-related services. Its ten electric utility operating companies comprise one of the United States' largest investor-owned utilities, based on serving 6 million customers within a 65,000-square-mile (170,000 km2) area of Ohio, Pennsylvania, West Virginia, Virginia, Maryland, New Jersey and New York. Its generation subsidiaries control more than 16,000 megawatts of capacity, and its distribution lines span over 194,000 miles. In 2018, FirstEnergy ranked 219 on the Fortune 500 list of the largest public corporations in the United States by revenue."
191,FRC,First Republic Bank,Financials,"First Republic Bank Corporation was an American bank based in Texas. Founded as the Guaranty Bank and Trust Company in 1920, in 1922 it assumed the name Republic National Bank of Dallas. Afterwards the bank acquired several banks and invested in others, and changed its name several times. By 1948 Republic had grown to become the largest bank in Texas. The bank failed in 1988, during the savings and loan crisis. In 1988 NCNB Corporation acquired First RepublicBank and in 1991 changed its name to NationsBank."
192,FISV,Fiserv Inc,Information Technology,"Fiserv, Inc. () is a global provider of financial services technology. The company's clients include banks, thrifts, credit unions, securities broker dealers, leasing and finance companies, and retailers. In October 2015, American Banker and BAI ranked the company third by revenue among technology providers to U.S. banks. Fiserv reported total revenue of $5.51 billion in 2016. In summer of 2018, Fiserv obtained the naming rights to the Fiserv Forum, home to the Milwaukee Bucks, for 25 years. Fiserv has been named as 2020 Fortune World's Most Admired Companies, the seventh consecutive year it has earned this recognition and 10 times in the last 12 years."
193,FLT,FleetCor Technologies Inc,Information Technology,"FleetCor Technologies, Inc. or FLEETCOR provides fuel cards and workforce payment products and services. Their customers include businesses, commercial fleets, oil companies, petroleum marketers and government in America, Netherlands, Belgium, Germany, Slovakia and various countries. The company provides services through two segments: North American and International segments. FLEETCOR's predecessor company was founded in the United States in 1986."
194,FLIR,FLIR Systems,Information Technology,"FLIR Systems is the world's largest commercial company specializing in the design and production of thermal imaging cameras, components and imaging sensors. Based in Wilsonville, Oregon, United States and founded in 1978, the company makes thermal cameras and components for a wide variety of commercial and government applications. FLIR is a component of the S&P 500 index with annual revenues in excess of $1.5 billion annually as of 2014. In the spring of 2013, Andrew C. Teich became FLIR's chief executive officer and president after the retirement of Earl Lewis. FLIR employs 2,741 people worldwide."
